nppes_provider_state,beneficiary_age_less_65_total,beneficiary_age_65_74_total,beneficiary_age_75_84_total,beneficiary_age_greater_84_total,beneficiary_female_total,beneficiary_male_total,beneficiary_race_white_total,beneficiary_race_black_total,beneficiary_race_api_total,beneficiary_race_hispanic_total,beneficiary_race_natind_total,beneficiary_race_other_total,beneficiary_nondual_total,beneficiary_dual_total,beneficiary_cc_afib_total,beneficiary_cc_alzrdsd_total,beneficiary_cc_asthma_total,beneficiary_cc_cancer_total,beneficiary_cc_chf_total,beneficiary_cc_ckd_total,beneficiary_cc_copd_total,beneficiary_cc_depr_total,beneficiary_cc_diab_total,beneficiary_cc_hyperl_total,beneficiary_cc_hypert_total,beneficiary_cc_ihd_total,beneficiary_cc_ost_total,beneficiary_cc_raoa_total,beneficiary_cc_schiot_total,beneficiary_cc_strk_total
HI,86372.0,355808.0,244115.0,132714.0,477303.0,379143.0,296542.0,9834.0,386979.0,26505.0,705.0,70326.0,612876.0,125263.0,99316.0,116041.0,110612.0,106421.0,167021.0,285869.0,110661.0,125652.0,314312.0,594378.0,613209.0,288039.0,108341.0,273270.0,23330.0,62503.0
IA,532166.0,1476460.0,1131409.0,617276.0,2226305.0,1607784.0,2904094.0,61673.0,4277.0,22275.0,3467.0,13866.0,2958595.0,748744.0,585418.0,440744.0,494912.0,426088.0,841960.0,1044848.0,733174.0,991706.0,1200230.0,2073517.0,2543581.0,1393139.0,301268.0,1487872.0,199040.0,217652.0
ID,202985.0,523539.0,369360.0,165331.0,744434.0,554685.0,1001503.0,4276.0,3343.0,31075.0,5995.0,5496.0,963716.0,289478.0,163025.0,138004.0,178357.0,140569.0,257149.0,342376.0,219584.0,382673.0,399690.0,597686.0,811572.0,400731.0,109866.0,571254.0,59060.0,65448.0
IL,2229326.0,5941740.0,4524228.0,2576027.0,9056770.0,6484759.0,11473062.0,1657037.0,211867.0,630543.0,5876.0,89454.0,11187880.0,3750777.0,2615221.0,2624501.0,2605595.0,2144947.0,4496048.0,5368085.0,3464996.0,4277644.0,5817526.0,9630343.0,11083729.0,6744180.0,1576907.0,7632876.0,1011948.0,1410042.0
IN,1541209.0,3185321.0,2293475.0,1210415.0,4905367.0,3456763.0,6522253.0,541107.0,8413.0,84204.0,1707.0,35129.0,6038008.0,2111529.0,1272147.0,1269612.0,1523408.0,1030444.0,2312736.0,2846609.0,2139623.0,2593901.0,3152523.0,4967885.0,5985114.0,3615141.0,775127.0,3872056.0,630375.0,695295.0
KS,665537.0,1599890.0,1178324.0,626360.0,2416441.0,1729662.0,3369916.0,204671.0,12975.0,74057.0,9196.0,18603.0,3176122.0,759691.0,609191.0,580428.0,594643.0,505348.0,940036.0,1211823.0,840557.0,1188375.0,1382332.0,2289546.0,2853308.0,1589857.0,359151.0,1775612.0,252782.0,269435.0
KY,1350512.0,2127498.0,1447842.0,682019.0,3312539.0,2394566.0,4384033.0,229913.0,3924.0,20322.0,1205.0,14453.0,3864592.0,1745882.0,867856.0,823901.0,1144314.0,663254.0,1628685.0,1916200.0,1689945.0,1858332.0,2222292.0,3525123.0,4170150.0,2584442.0,472933.0,2767766.0,415877.0,441130.0
LA,1120910.0,1971250.0,1321364.0,614689.0,2981694.0,2143740.0,3514419.0,1056681.0,8519.0,59717.0,1839.0,12032.0,3313524.0,1734741.0,706402.0,845092.0,821197.0,602945.0,1482361.0,1801801.0,1171407.0,1480961.0,2047564.0,3108854.0,3796481.0,2404991.0,436527.0,2495727.0,395433.0,484892.0
MA,1938771.0,3973725.0,2886765.0,1758016.0,6171700.0,4565116.0,8702427.0,398114.0,74733.0,431457.0,2096.0,118132.0,7380550.0,3187352.0,1813709.0,1635718.0,1839251.0,1482806.0,2663701.0,3505280.0,2070022.0,3569586.0,3451560.0,6330823.0,7434375.0,4049487.0,1122095.0,4526719.0,838694.0,811427.0
MD,1246016.0,3474122.0,2556912.0,1534513.0,5346933.0,3627901.0,6299721.0,1709080.0,147596.0,126501.0,3307.0,69217.0,6652756.0,1983156.0,1432614.0,1732658.0,1440317.0,1226069.0,2358725.0,3022236.0,1825448.0,2556159.0,3497899.0,5691267.0,6464645.0,3785531.0,842332.0,4079809.0,582363.0,906268.0
ME,425922.0,672999.0,538336.0,299341.0,1136634.0,837952.0,1331590.0,8655.0,2974.0,5703.0,3946.0,10314.0,1165522.0,794679.0,303973.0,247030.0,333919.0,219241.0,439875.0,551029.0,444745.0,691718.0,634806.0,1099962.0,1290463.0,700100.0,161180.0,770016.0,126249.0,126035.0
MI,2818449.0,4771021.0,3524301.0,2087436.0,7786981.0,5638880.0,9869461.0,1764239.0,57755.0,164668.0,20335.0,87983.0,9389094.0,3648189.0,2130735.0,2466390.0,2688531.0,1724183.0,4233003.0,4946715.0,3615077.0,4306003.0,5427380.0,8062258.0,9614278.0,6430278.0,1144833.0,6591860.0,996402.0,1269639.0
MN,999252.0,1400945.0,1106124.0,620720.0,2412060.0,1899413.0,2971888.0,153817.0,23428.0,34189.0,22988.0,22119.0,2968842.0,1139619.0,609373.0,471589.0,560222.0,496938.0,938165.0,1350063.0,669084.0,1347786.0,1258552.0,2024437.0,2692697.0,1460900.0,330493.0,1673818.0,321297.0,242145.0
MO,1542769.0,2936897.0,2119528.0,1091826.0,4519127.0,3283581.0,6041512.0,533167.0,13437.0,46597.0,10184.0,26498.0,5650731.0,1863781.0,1212301.0,1236338.0,1357012.0,1031427.0,2110467.0,2632466.0,1920489.0,2559727.0,2817191.0,4536002.0,5545384.0,3318009.0,732544.0,3749011.0,565037.0,659340.0
MS,888609.0,1505790.0,1021652.0,448034.0,2319215.0,1595546.0,2702304.0,703156.0,2794.0,8820.0,5453.0,4282.0,2554469.0,1330752.0,492111.0,599046.0,584339.0,434656.0,1070976.0,1181321.0,865928.0,1022304.0,1518343.0,2122013.0,2868957.0,1640832.0,295363.0,1893924.0,261751.0,321114.0
MT,133132.0,444569.0,308215.0,140313.0,593724.0,463341.0,822277.0,2552.0,728.0,6353.0,26104.0,5723.0,817930.0,188373.0,134488.0,105706.0,134518.0,123114.0,199925.0,250428.0,188359.0,276365.0,284020.0,441328.0,625460.0,320134.0,93854.0,425605.0,40970.0,57397.0
NC,2865170.0,5919054.0,3841768.0,1774154.0,8559345.0,6072287.0,10839441.0,2244209.0,63786.0,142570.0,46592.0,83461.0,10495499.0,3760016.0,1993876.0,2005508.0,2314346.0,1763398.0,3377926.0,4671892.0,3059439.0,4057434.0,5465382.0,8824683.0,10396987.0,5387503.0,1208359.0,6254502.0,856736.0,1100527.0
